spot_name,spot_address,elastic_tourist_spot_id
소올투베이커리,대전 서구 둔지로 32,
인셉트,대전 서구 갈마역로25번길 67 102호,
작은숩,대전 동구 성동로 17,
윈도우로맨스,대전 중구 과례로 84-2 1층,
이케엔솜,대전 서구 용소로 51,
베이크샵 수하,대전 유성구 지족북로 78,
마마 러프 파이,대전 서구 둔산동 1129,
콜드버터 베이크샵,대전 중구 대흥동 중앙로112번길 37,
이이디 에스프레소 바,대전 중구 중앙로129번길 30 2층,
달케 디저트,대전 서구 괴정동 7-17,
SSAW,대전 서구 둔산동 1435,
계족산성,대전 대덕구 산디로 79-70,
회덕향교대성전,대전 대덕구 대전로1397번안길 126,
대전 소대헌ㆍ호연재 고택,대전 대덕구 동춘당로 70,
둔산선사유적공원,대전 서구 대덕대로317번길 9,
도산서원,대전 서구 남선로 8,
봉소루,대전 중구 봉소루로 29,
단재신채호선생생가지,대전 중구 단재로229번길 47,
창계숭절사,대전 중구 대둔산로137번길 67,
유회당,대전 중구 운남로85번길 32-20,
고산사 대웅전,대전 동구 대전로316번길 205,
우암사적공원,대전 동구 충정로 53,
문충사,대전 동구 동부로73번길 44,
송애당,대전 대덕구 계족산로17번길 60,
쌍청당,대전 대덕구 쌍청당로 17,
진잠향교대성전,대전 유성구 교촌로 67,
숭현서원,대전 유성구 엑스포로251번길 36,
수운교천단,대전 유성구 자운로245번길 80,
미륵원,대전 동구 마산동 135-2,
남간정사,대전 동구 충정로 53,
옛 대전형무소,대전 중구 중촌동 16-11,
유성온천,대전 유성구 봉명동 574,
으능정이문화의거리,대전 중구 은행동 45-10,
대전문화예술단지,대전 서구 둔산대로 135,
동춘당,대전 대덕구 동춘당로 80,
대전둘레산길,대전 중구 문화동 산 18-1,
효문화마을,대전 중구 뿌리공원로 47,
대청호반,대전 동구 추동 333,
엑스포과학공원,대전 유성구 엑스포로 85,
뿌리공원,대전 중구 뿌리공원로 79,
오-월드,대전 중구 사정공원로 70,
계족산 황톳길,대전 대덕구 장동 453-1,
장태산자연휴양림,대전 서구 장안로 461,
한밭수목원,대전 서구 둔산대로 169,
이사동 민속마을,대전 동구 이사로 102-21,
옛 충남도청과 근현대사전시관,대전 중구 중앙로 101,
유성온천 족욕체험장,대전 유성구 봉명동 574,
대청호 오백리길,대전 대덕구 대청로 618-136,
금강로하스 에코파크,대전 대덕구 대청로 167,
산디마을 생태공원 캠핑장,대전 대덕구 산디로 190,
로하스 가족공원 캠핑장,대전 대덕구 대청로424번길 200,
상소오토캠핑장,대전 동구 산내로 748,
뿌리공원 캠핑장,대전 중구 뿌리공원로 79,
장태산자연휴양림캠핑장,대전 서구 장안로 461,
대청댐 물 문화관,대전 대덕구 대청로 618-136,
대동하늘공원,대전 동구 동대전로110번길 182,
주주 글램핑장,대전 유성구 성북로 66-19,
보문산 숲 치유센터,대전 중구 보문산공원로 440,
로하스 대청水포츠,대전 대덕구 대청로 167,
성북동산림욕장,대전 유성구 성북로 463,
밀쌈마을,대전 유성구 세동로 44-14,
갑천 수상스포츠,대전 서구 만년동 397,
목척교,대전 중구 은행동 55-8,
무수천하마을,대전 중구 무수동 247-1,
보문산,대전 중구 문화동 산 18-1,
선창마을,대전 유성구 계백로93번길 111,
구봉산,대전 서구 괴곡동 산 55,
만인산 자연휴양림,대전 동구 산내로 106,
찬샘마을,대전 동구 냉천로 703,
식장산,대전 동구 세천동 358,
장동산림욕장,대전 대덕구 산디로 79-70,
계족산,대전 대덕구 산디로 79-70,
대청호 두메마을,대전 대덕구 대청호수로1326번길 97,
수통골 유원지,대전 유성구 계산동 667-1,
만인산,동구 하소동,
테미공원,대전 중구 보문로199번길 37-36,
대전보훈공원,대전 중구 보훈로 46,
유림공원,대전 유성구 어은로 27,
대덕사이언스길,대전 유성구 대덕대로 480,
대청호 자연생태관,대전 동구 천개동로 41,
캠프향기 캠핑장,대전 동구 산내로 710,
꿈꾸는 농부 오토캠핑장,대전 동구 산내로 716,
하기숲 캠핑장,대전 유성구 하기동 259,
대전곤충생태관,대전 서구 둔산대로 191,
