name,rating,user_ratings_total,types,address,latitude,longitude,cluster
에넥스 본갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 산성동 144-9,36.3101113,127.3885479,3
영아트갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 산성동 120-12,36.30414319999999,127.3840591,3
미래(MIRRE)갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 서구 복수동 732,36.2980732,127.375349,3
개미갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 유천동 334-1,36.3137736,127.3919066,3
양성국 gallery,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 문화동 584-10,36.3060261,127.4017088,3
소호아트갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 유천동 327-29,36.3173567,127.3922051,3
서연갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 유천동 211-19,36.3173812,127.3965181,3
Gallery DK & World,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 문화동 1-13,36.3209524,127.4099541,3
K갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 용두동 34-33,36.3274722,127.4074524,3
콤파스인터내셔널윤갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 용두동 26-33,36.3252071,127.4121295,3
갤러리모아,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 오류동 175-1,36.32378619999999,127.4074658,3
문아트,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 오류동 152-1,36.32263030000001,127.4115575,3
아담스갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 오류동 152-1,36.32263030000001,127.4115575,3
양지갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 430-9,36.3253756,127.416508,1
우송화랑,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 366-12,36.3292187,127.4178823,1
영갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 366-12,36.3292187,127.4178823,1
예술액자,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대사동 248-300,36.32193890000001,127.4170466,1
갤러리그라피,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 192-14,36.3321011,127.4181004,1
그리미갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 192-14,36.3321011,127.4181004,1
국립 대전현대미술관 (2025년),,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 287-1,36.3274199,127.4202662,1
정원미술관,5.0,1.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 354,36.32939559999999,127.4199918,1
아임갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대흥동 466-12,36.3253446,127.4231525,1
아트세이,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 선화동 79-14,36.3325165,127.4216204,1
대전현대갤러리,3.4,21.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대흥동 465-2,36.3253045,127.4234608,1
태수갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 중촌동 117-14,36.33876900000001,127.4135894,1
아트삼육오,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 중촌동 99-8,36.3393354,127.4121994,1
아트스페이스B갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 중촌동 98-9,36.3396572,127.4127662,1
갤러리 아트앤아트,5.0,1.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대흥동 423-5,36.32380879999999,127.4257711,1
지아트,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 은행동 137-28,36.3295034,127.4260546,1
우연겔러리,3.3,3.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대흥동 187-1,36.3262489,127.4269882,1
어트렉션 (Attraction),,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 은행동 9-6,36.3297682,127.4283143,1
"Small Window, Large Landscape",,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 중동 51-32,36.33178729999999,127.4277699,1
Small Window Gallery,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 중동 51-32,36.33178729999999,127.4277699,1
토방갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대흥동 91-4,36.32604930000001,127.4297253,1
아트&하트,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 삼성동 322-2,36.3404653,127.4223281,1
언우빈갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 중동 93-11,36.3297989,127.4313052,1
아림갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 삼성동 479,36.3407016,127.4242157,1
아트갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 원동 85-1,36.3274621,127.4325439,1
보문산갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 대사동 197-15,36.3090955,127.4193415,1
한국음악저작권협회 충청지부,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 용전동 21-3,36.3537574,127.4398427,4
아름가운아트갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 대덕구 오정동 223-108,36.3490805,127.4247968,1
관사24호 : 핑크집,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 삼성동 100-14,36.3369071,127.4355143,1
관사17호 : 마당집,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 소제동 299-67,36.3369298,127.4364989,1
관사16호,4.5,4.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 소제동 299-70,36.3367684,127.4367257,1
관사51호 : 두충나무집,4.0,1.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 삼성동 100-24,36.33629760000001,127.4352547,1
이산갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 가양동 48-23,36.3521951,127.452973,4
아트하트,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 대덕구 송촌동 497-16,36.3636953,127.4440616,4
우피치갤러리이츠갤러리,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 소제동 304-38,36.3343565,127.4399092,1
갤러리석,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 소제동 304-42,36.3339587,127.4398241,1
아트와나무,,,"['art_gallery', 'point_of_interest', 'establishment']",대전 중구 부사동 298-11,36.31230869999999,127.4317663,1
나목향갤러리,1.0,1.0,"['art_gallery', 'point_of_interest', 'establishment']",대전 동구 가오동 388-14,36.30560550000001,127.4515114,1
파리바게트 학하오투그란데,3.9,67.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 계산동 803-3,36.3422695,127.304094,0
신일룡의 호두파이,4.5,2.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 계산동 산 40,36.34586049999999,127.2905563,0
소담제빵소,3.7,3.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 계산동 801-3,36.3422468,127.3036304,0
파리바게뜨 노은현대,3.8,11.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 지족동 905-5,36.37249139999999,127.3189973,5
파리바게뜨 대전노은역,4.2,5.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 지족동 901-4,36.3747967,127.318414,5
올리브가든 본점,4.3,81.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 죽동 620-12,36.3806792,127.326224,5
파리바게뜨 노은스타,3.7,48.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 노은동 562-2,36.3653287,127.3173749,5
뚜레쥬르 대전노은호반,4.4,14.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 지족동 985-2,36.38698960000001,127.3161083,5
파리바게뜨 노은송림,3.7,37.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 하기동 516,36.3878418,127.3200717,5
파리바게뜨 노은반석점,3.4,14.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 반석동 639-1,36.3913877,127.3122679,5
연선흠베이커리카페,4.3,132.0,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",대전 유성구 지족동 1048-5,36.3785383,127.305351,5
